Operateur;x;y;2G;3G;4G
20801;48.41197455387813;-4.415298178704075;1;1;0
20801;48.438706856936285;-4.417411743019736;1;1;1
20820;48.43839609820078;-4.415738116999361;1;1;1
20810;48.43861105905212;-4.415768546596614;1;1;1
20815;48.43846943911795;-4.415721338584104;0;1;0
20820;48.504161709254255;-4.42277538007271;1;1;1
20810;48.50415781947494;-4.42269324420245;1;1;1
20801;48.50417742059979;-4.422668830470432;1;1;1
20801;48.39758790891322;-4.406804273275903;1;1;1
20801;47.96051111295104;-4.343048133014075;1;1;0
20810;48.08227380473616;-4.353561324104987;1;1;1
20820;48.08225672226727;-4.3535454552957304;1;1;1
20815;48.082216353121034;-4.353324024138284;0;1;1
20801;48.43429846851092;-4.401375404953513;1;1;1
20801;47.9986417089613;-4.334988000290876;1;1;0
20820;47.816456697536104;-4.308486836588452;1;1;1
20810;47.81647877982084;-4.308422781428513;1;1;1
20820;48.4099524277455;-4.387690424845383;1;1;1
20810;48.40980968843363;-4.387371715273688;1;1;1
20801;48.40993845103259;-4.38733557275768;1;1;0
20801;48.08966680108888;-4.3405492867791065;1;1;1
20810;48.42156889298434;-4.386450038264177;1;1;1
20815;48.421722844871354;-4.386444586837545;0;1;1
20820;48.42166266595931;-4.386395378470534;1;1;1
20801;48.080978728313404;-4.33582033001849;1;1;1
20801;48.3756224311772;-4.374839210391838;1;1;1
20820;48.093232419670606;-4.328742358427421;0;1;0
20810;48.227545681484074;-4.346519294810821;1;1;0
20820;48.22768089982153;-4.346524652859781;1;1;1
20815;48.22768089982153;-4.346524652859781;0;1;1
20801;48.227577573497406;-4.346442599520293;1;1;1
20820;48.09119106639815;-4.327420038991423;1;1;1
20810;48.09776304226782;-4.326956952989152;1;1;0
20801;48.09772803673603;-4.326938598751263;1;1;1
20815;47.962021671592865;-4.30802808244689;0;1;0
20810;47.961849940715815;-4.3078832428458895;1;1;1
20801;48.086202521981505;-4.324663429860274;0;1;0
20810;48.38526821495646;-4.365641484554424;1;1;1
20801;48.385396973315984;-4.365605305704559;1;0;0
20820;48.385273242924534;-4.3655607966757195;1;1;0
20820;47.79541682131911;-4.283401527573193;1;1;1
20810;47.79541034633646;-4.283360396832946;1;1;1
20801;47.7954372321894;-4.283364087656812;0;1;0
20810;48.370718083263505;-4.358133093460599;1;1;1
20820;48.370831436634404;-4.358054060110351;1;1;1
20815;48.37075667663854;-4.357948641389237;0;1;1
20820;47.91734132481022;-4.29375161364894;1;1;1
20815;47.917351116117956;-4.2937395179592155;0;1;1
20810;47.91734547532669;-4.293684960935287;1;1;1
20820;47.84019369475977;-4.282384589611835;1;1;1
20810;47.84019369475977;-4.282384589611835;1;1;1
20820;48.53114990205965;-4.377931327105791;1;1;0
20801;47.80639134798941;-4.2768449807850475;1;1;1
20810;47.85345239811386;-4.282393647524519;1;1;0
20801;47.83370918859153;-4.279399793826695;1;1;0
20820;47.80591471192013;-4.270997102837984;1;1;0
20815;47.80597373166126;-4.270629532934704;0;1;1
20801;48.458060935613624;-4.359673316010543;1;1;1
20801;48.08565742597409;-4.299001035684393;1;1;1
20810;48.08560615664508;-4.29895347910274;1;1;0
20820;48.08556420001293;-4.298610480389245;1;1;1
20810;48.53615175575074;-4.359236731116184;1;1;0
20820;47.898334639415914;-4.268890410286673;1;1;1
20815;47.898334639415914;-4.268890410286673;0;1;1
20810;47.898334639415914;-4.268890410286673;1;1;1
20801;47.913642027546494;-4.269809341382758;1;1;0
20810;47.98885793804359;-4.278188523379636;1;1;0
20801;48.65334702346499;-4.370015296055717;1;1;0
20820;48.653004459670825;-4.369857816807378;1;1;1
20810;48.653047519269656;-4.3694548452386615;1;1;1
20820;48.46972433584013;-4.33056504192201;1;1;1
20810;48.44483418784172;-4.3257238272493295;1;1;0
20820;48.430904380997944;-4.323640535798766;1;1;0
20801;47.86075002973699;-4.242582421734343;0;1;1
20820;48.57305152260996;-4.335572226037354;1;1;1
20801;48.57297591994255;-4.335479929230778;1;1;1
20815;48.39163226536601;-4.309988674180369;0;1;1
20810;48.38996718637502;-4.3088612166257105;1;1;0
20801;48.38254767976057;-4.307569572886618;1;1;1
20810;48.57129538738934;-4.332997806100026;1;0;0
20810;47.80471218567129;-4.2261175679649305;1;1;0
20801;47.80484095063522;-4.226081446240662;1;1;0
20801;47.99542780682745;-4.247102210842622;1;1;0
20810;48.04263907594142;-4.253366193391385;1;1;1
20815;48.57898970941515;-4.326317087763268;0;1;1
20801;48.57902636945484;-4.326308613478973;1;1;0
20801;48.329474055772216;-4.287811301156494;1;1;0
20820;48.329450496201005;-4.287753830817708;1;1;0
20815;48.329460284189786;-4.287741639357212;0;1;1
20810;47.87723764626376;-4.224699273924542;1;1;1
20801;47.877258037405745;-4.2246617537999835;1;1;1
20820;47.87757261748376;-4.224543451483638;1;1;1
20801;47.8633758523121;-4.222325794572262;1;1;1
20801;48.56258418457815;-4.318695400373439;1;1;0
20820;48.03565838842155;-4.245090879031167;1;1;0
20820;48.534278070141475;-4.303483675906027;1;1;0
20810;48.53413215845515;-4.302919169580279;1;1;0
20815;48.533766754873724;-4.302691298733096;0;1;1
20801;48.533774231671806;-4.302569915191669;1;1;0
20820;48.02090524321157;-4.230661285603843;1;1;0
20815;48.02111062035916;-4.230554694440883;0;1;1
20820;48.37110572823777;-4.275843590219496;1;1;1
20820;47.83360841560875;-4.197506336417951;1;1;1
20810;47.833561193443884;-4.197392548085136;1;1;1
20801;47.81061497161912;-4.191515232015477;0;1;0
20810;48.03115191278936;-4.219372767791069;1;1;0
20810;48.45310634940769;-4.2758390829042545;1;1;0
20801;48.42637061135009;-4.269113483855676;1;1;1
20810;48.6031610792047;-4.292045590393337;1;1;0
20815;48.60309623328246;-4.29104220926098;0;1;0
20801;48.44495680687597;-4.26525581449169;1;1;0
20820;48.46253024647672;-4.26596868703527;1;1;0
20801;48.12978297985757;-4.2186535378107894;1;1;1
20801;48.46555777913389;-4.264921619419761;1;1;0
20820;48.12990522016417;-4.218575792769346;1;1;1
20815;48.12990604162717;-4.218562407452527;0;1;1
20820;48.04795638827513;-4.2069268395148045;1;1;0
20810;48.45926235135859;-4.262540585517258;1;1;1
20815;48.459137197703555;-4.262224401669327;0;1;1
20815;48.3630513841737;-4.246945820761523;0;1;1
20810;48.36423100586091;-4.24671555180329;1;1;0
20801;48.364673515539174;-4.246424147456385;1;1;1
20815;47.82651858500167;-4.171984951246028;0;1;1
20810;47.98394444961031;-4.193031393610842;1;1;1
20801;47.98425079096818;-4.193046154888605;1;1;0
20820;47.98394203681469;-4.192923383390578;1;1;1
20815;47.98395181733073;-4.192911253892785;0;1;1
20820;47.82694070940871;-4.171585757480615;1;1;1
20801;47.82689752720538;-4.171553077147437;1;1;1
20810;48.4831939210925;-4.2597456308820245;1;1;1
20801;48.48331285338839;-4.25972135727235;1;0;0
20820;48.48333076946914;-4.2597238419893495;1;1;1
20815;48.48333076946914;-4.2597238419893495;0;1;0
20820;47.94559849340545;-4.183944067452561;1;1;1
20810;47.9456473925046;-4.183883455475936;1;1;1
20810;47.8824290952391;-4.166563976790602;1;1;1
20801;47.88215371727132;-4.166190869725907;1;1;1
20815;47.882109719317086;-4.166171483485743;0;1;1
20820;47.88222135016701;-4.166119415110426;1;1;1
20820;48.32971715712822;-4.2266684416782905;1;0;0
20810;48.329473778609355;-4.226363963275022;1;1;1
20820;48.090265422889125;-4.19083002385068;1;1;1
20815;48.09027438418504;-4.190831245308092;0;1;1
20810;48.4311366343224;-4.235577422008249;1;0;0
20820;48.444143129720864;-4.23577151002205;1;1;0
20815;48.44414806906522;-4.235690719400666;0;1;0
20801;48.44417659119291;-4.235667501180729;1;1;1
20801;47.959480473180676;-4.1663485249881305;1;1;0
20801;48.066645805701775;-4.17914590600855;1;1;0
20801;48.31730545639051;-4.212891257749324;1;1;0
20801;47.94319628418178;-4.147559838865883;1;1;0
20820;48.30728598841062;-4.196902571526093;1;1;0
20815;48.30727972284058;-4.196116224514471;0;1;1
20815;47.87654052645685;-4.133516304891471;0;1;1
20801;47.87657719074221;-4.133507809597561;1;1;1
20820;47.96667343525949;-4.145027829762574;1;1;1
20815;47.96667343525949;-4.145027829762574;0;1;1
20810;47.96669212079771;-4.144572880342396;1;1;1
20801;47.972393613598975;-4.133743725834163;1;1;0
20815;48.620207443637575;-4.219299558061011;0;1;0
20801;48.620244094785185;-4.219291002174446;1;1;1
20820;47.996533759299105;-4.133515063377121;1;1;1
20810;47.99654678111449;-4.133449508255739;1;1;1
20815;47.99647017858779;-4.133371857288237;0;1;0
20801;47.996507652038176;-4.133349989733692;1;1;1
20820;48.21962925254739;-4.163227659356648;1;1;0
20820;47.984250439246765;-4.129111942313511;1;1;1
20810;47.984250439246765;-4.129111942313511;1;1;1
20801;48.02752451788185;-4.1329586091638655;1;1;0
20801;47.98582609289754;-4.125784519853135;1;1;1
20810;47.877680997279;-4.109572483281971;1;1;1
20820;47.877683424938674;-4.109532512987112;1;1;1
20801;47.8777298600039;-4.109511880365133;1;1;1
20801;48.185922635450815;-4.147711946401274;0;1;0
20820;48.11910928885961;-4.136967959383448;1;1;1
20810;48.11910928885961;-4.136967959383448;1;1;1
20815;48.119119062747686;-4.136955788531356;0;1;1
20801;47.990267348758096;-4.115883829854739;1;1;1
20820;48.27388687972296;-4.153338462788842;1;1;1
20810;48.27388687972296;-4.153338462788842;1;1;1
20801;48.273963441019234;-4.153118808737824;1;1;0
20810;47.99401123307411;-4.114045521123119;1;0;0
20815;48.274997858101756;-4.15110767599484;0;1;1
20820;48.61987631335952;-4.1969241213120965;1;1;1
20810;48.619932515737595;-4.196890997679027;1;1;1
20801;48.50195272558157;-4.180515073995343;1;0;0
20801;47.996001604703274;-4.1098305465715335;1;1;1
20820;47.99582720630203;-4.109726316139618;1;1;1
20801;48.00777970244707;-4.11035146499445;1;1;1
20801;47.99090654843023;-4.105039759952571;1;1;0
20820;47.98180493174485;-4.103143732585494;1;1;1
20810;47.98162722200824;-4.102944900377901;1;1;1
20801;47.98165572732259;-4.102921813346269;1;1;1
20810;47.99258836782925;-4.10367741059924;1;1;1
20820;47.99264295286897;-4.103671285006153;1;1;1
20801;47.995718993017086;-4.099426896608912;1;1;1
20801;47.96765169420662;-4.094838388450828;1;0;0
20801;48.544874678361964;-4.17310485393283;1;1;0
20810;48.00921393776294;-4.100243492515275;1;0;0
20820;48.54493822193292;-4.172950324443287;1;1;0
20810;48.54493822193292;-4.172950324443287;1;1;0
20815;48.54494799647394;-4.172938061464353;0;1;0
20815;48.199435761558824;-4.125545210747579;0;1;1
20820;48.008143039402064;-4.099574472038934;1;1;1
20810;48.008165004920144;-4.09951009833839;1;1;1
20801;47.97411423960591;-4.09465587810513;0;0;0
20820;47.97444384869997;-4.093986916606219;1;1;1
20820;48.661668683907884;-4.1872284165783835;1;1;1
20820;48.19999746564096;-4.124175210755643;1;1;1
20801;48.66169313948443;-4.187122710061424;1;1;1
20810;47.98660128112421;-4.094958759185102;1;1;1
20810;48.199553321345746;-4.12360157062868;1;1;1
20815;48.6616663732957;-4.186669083886704;0;1;1
20820;47.986507453973736;-4.0947173578064815;1;1;1
20801;47.98778121130844;-4.092330960796528;1;1;0
20801;48.006884805021926;-4.0943831447001395;1;1;0
20815;47.98784684439957;-4.091693701754134;0;1;1
20810;47.925096244591955;-4.082385411909727;1;1;1
20815;47.92499755153344;-4.082224326881645;0;1;1
20820;47.92540232155624;-4.081955837863416;1;1;1
20820;47.987861884646776;-4.088155833149115;1;1;1
20810;47.987666313355184;-4.0881026922152595;1;1;1
20801;47.987376900736514;-4.08780815856586;1;0;0
20801;48.01430639103176;-4.088942673393274;1;1;0
20815;48.018225373742354;-4.086438345407486;0;1;1
20801;47.99754370798788;-4.080744267153278;0;1;0
20810;48.489677058479074;-4.147045366287868;1;0;0
20820;47.97484474274312;-4.077031971411219;1;1;1
20801;47.974891169348474;-4.077011272521589;1;1;0
20810;47.97491070656097;-4.076986974925513;1;1;1
20815;47.9748951967212;-4.07694453074976;0;1;0
20801;48.27725532463242;-4.1170649383504125;1;1;0
20820;47.97769450056969;-4.076673256337821;1;0;0
20810;47.99726859186501;-4.07871505443292;1;1;1
20820;47.99732236978089;-4.078722256566713;1;1;1
20815;47.99732236978089;-4.078722256566713;0;1;1
20801;48.006244741157914;-4.0777496526155375;1;1;1
20820;48.255268450043914;-4.11028788879876;1;1;1
20810;48.255239887462444;-4.110162273192599;1;1;1
20801;47.98262990274554;-4.0727446340687905;1;1;1
20810;47.98185172020229;-4.072613621081553;1;1;1
20820;47.98177749173078;-4.072496029100422;1;1;1
20801;48.52245675950178;-4.1451058308725965;0;0;1
20810;48.03923232703972;-4.077751447087055;1;1;1
20820;48.03925025255265;-4.077753849372904;1;1;1
20820;47.91134437813622;-4.058571540749692;1;1;1
20801;47.99473140439453;-4.069544772179469;1;1;1
20810;47.91130264720211;-4.058364381038237;1;1;1
20801;47.91140687127868;-4.058284197072347;1;1;0
20801;48.229176799651334;-4.100109402468384;1;1;0
20810;48.65774041654725;-4.157130358980055;1;1;1
20820;48.65749855268588;-4.156947215295168;1;1;1
20801;48.20138004674092;-4.093630620115457;1;1;1
20820;48.50193560265097;-4.132789401601048;1;1;0
20810;48.50193560265097;-4.132789401601048;0;1;0
20815;48.50194537338352;-4.132777141192187;0;1;0
20801;48.501973062565774;-4.1327673230301825;0;1;0
20801;48.04017777146148;-4.069255631704523;1;1;0
20815;48.040000702587946;-4.068895115738938;0;1;1
20801;48.16085968584204;-4.084042893658419;1;1;0
20801;47.98322413865472;-4.058679668559238;1;1;1
20810;48.26408588314075;-4.09228070706083;0;1;0
20801;47.98441382806705;-4.048812132288164;1;1;1
20820;48.58301234282449;-4.129155275068144;1;1;1
20810;48.58301234282449;-4.129155275068144;1;1;1
20801;48.00593811844373;-4.049219124385604;1;1;0
20820;48.00588660792963;-4.049023763302994;1;1;1
20815;48.00588741021466;-4.0490104067170165;0;1;1
20810;48.00589061933953;-4.048956980369058;1;1;1
20801;47.99831431153893;-4.046331203391688;1;1;0
20815;48.25638789751025;-4.080271219955378;0;1;1
20801;48.253991780434234;-4.0785012026827125;1;1;1
20801;48.44964013276968;-4.1037127195707725;1;1;1
20820;48.20906199768435;-4.068782881164568;1;1;1
20810;48.20906199768435;-4.068782881164568;1;1;1
20820;47.89047540487424;-4.0245559442150665;1;1;1
20815;47.890002704888886;-4.024452954974107;0;1;1
20810;47.89029064814283;-4.024020953609067;1;1;1
20820;48.600559217671346;-4.118055285445222;1;1;1
20810;48.600559217671346;-4.118055285445222;1;1;1
20815;48.600861228878614;-4.117687916974055;0;1;1
20810;47.98290617305472;-4.032233202077221;1;1;1
20820;47.98318436469748;-4.031812644947818;1;1;1
20815;48.21277782813591;-4.059996003906465;0;1;1
20801;48.21281447913483;-4.0599874034326655;1;1;1
20801;47.89253230673522;-4.017224847896633;1;1;1
